date,season,HomeTeam,AwayTeam,gf,ga,home_rolling_xg,away_rolling_xg,home_rolling_xga,away_rolling_xga,home_rolling_points,away_rolling_points,home_rolling_poss,away_rolling_poss,home_rolling_sot_ratio,away_rolling_sot_ratio,xg_diff,xga_diff,outcome,over_2_5
2022-08-13,2023,Arsenal,Leicester,4,2,1.6600000000000001,1.72,1.3800000000000001,1.2,1.8,2.2,54.6,52.8,0.34621158958001064,0.45912087912087907,-0.05999999999999983,0.18000000000000016,0,1
2022-08-27,2023,Arsenal,Fulham,2,1,1.9600000000000002,1.4,0.9400000000000001,1.22,2.4,1.2,54.6,44.8,0.29976213260423784,0.325,0.5600000000000003,-0.2799999999999999,0,1
2022-08-31,2023,Arsenal,Aston Villa,2,1,2.3600000000000003,0.9199999999999999,0.78,1.7600000000000002,3.0,0.6,59.0,51.6,0.3361257689678742,0.3202564102564103,1.4400000000000004,-0.9800000000000002,0,1
2022-10-01,2023,Arsenal,Tottenham,3,1,1.8199999999999998,1.9600000000000002,0.7,1.06,2.4,2.6,62.0,50.4,0.37636113886113887,0.4060073238781679,-0.14000000000000035,-0.3600000000000001,0,1
2022-10-09,2023,Arsenal,Liverpool,3,2,2.04,1.94,0.9600000000000002,1.1800000000000002,2.4,1.6,63.4,65.2,0.372465034965035,0.4002117826535649,0.10000000000000009,-0.21999999999999997,0,1
2022-10-30,2023,Arsenal,Nott'm Forest,5,0,1.6199999999999999,0.9800000000000001,1.1400000000000001,1.32,2.6,1.0,56.4,37.2,0.4483993783993784,0.32222222222222224,0.6399999999999998,-0.17999999999999994,0,1
2022-12-26,2023,Arsenal,West Ham,3,1,1.6,1.2799999999999998,0.78,1.2200000000000002,2.6,0.6,59.6,48.8,0.2853174603174603,0.29692693271640647,0.3200000000000003,-0.44000000000000017,0,1
2023-01-03,2023,Arsenal,Newcastle,0,0,2.3,1.8800000000000001,0.72,0.66,3.0,2.6,56.8,50.6,0.30892857142857144,0.3726708817498291,0.4199999999999997,0.05999999999999994,1,0
2023-01-22,2023,Arsenal,Man United,3,2,2.0,2.08,1.1,0.6199999999999999,2.6,2.6,55.0,53.4,0.32384453781512607,0.36411764705882355,-0.08000000000000007,0.4800000000000002,0,1
2023-02-11,2023,Arsenal,Brentford,1,1,1.9600000000000002,1.4,1.18,0.8,2.0,2.6,54.8,41.2,0.28515406162464985,0.3707359307359307,0.5600000000000003,0.3799999999999999,1,0
2023-02-15,2023,Arsenal,Man City,1,3,1.7,2.0599999999999996,1.34,1.0,1.6,1.8,62.2,62.8,0.24602362684204118,0.35250000000000004,-0.35999999999999965,0.3400000000000001,2,1
2023-03-01,2023,Arsenal,Everton,4,0,1.6,1.1199999999999999,1.2,1.56,1.4,1.2,66.8,47.2,0.17753623188405795,0.2866666666666667,0.4800000000000002,-0.3600000000000001,0,1
